"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3477","Установка невалидного имени","","Mon Dec 15 13:04:16 UTC 2025","passed","Mon Dec 15 13:04:20 UTC 2025","","iteration2.ui.ChangeUsernameTest","iteration2.ui.ChangeUsernameTest","userCannotChangeToInvalidNameTest"
"","1006","Пополнение баланса (позитивные сценарии) [5] 5000.0","","Mon Dec 15 13:04:14 UTC 2025","passed","Mon Dec 15 13:04:15 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","3598","Невалидная сумма при переводе","","Mon Dec 15 13:04:23 UTC 2025","passed","Mon Dec 15 13:04:27 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","0","Перевод на тот же самый счет","","Mon Dec 15 13:03:55 UTC 2025","skipped","Mon Dec 15 13:03:55 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferToTheSameAccountTest"
"","475","Изменение имени (некорректные имена) [4] Ivan Perovich1","","Mon Dec 15 13:03:37 UTC 2025","passed","Mon Dec 15 13:03:38 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1970","Получение списка транзакций","","Mon Dec 15 13:04:30 UTC 2025","passed","Mon Dec 15 13:04:32 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanGetListOfTransactions"
"","1015","Пополнение баланса от имени администратора","","Mon Dec 15 13:04:08 UTC 2025","passed","Mon Dec 15 13:04:09 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","adminCannotDepositTest"
"","511","Изменение имени (некорректные имена) [6] Ivan-Petrovich","","Mon Dec 15 13:03:38 UTC 2025","passed","Mon Dec 15 13:03:39 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1115","Перевод невалидной суммы [2] 0.0","","Mon Dec 15 13:03:51 UTC 2025","passed","Mon Dec 15 13:03:52 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","1273","Перевод между своими счетами [2] 20.5","","Mon Dec 15 13:03:44 UTC 2025","passed","Mon Dec 15 13:03:45 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","1107","Перевод с чужого счета","","Mon Dec 15 13:03:54 UTC 2025","passed","Mon Dec 15 13:03:55 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferFromElseAccountTest"
"","1261","Перевод между своими счетами [3] 115.99","","Mon Dec 15 13:03:45 UTC 2025","passed","Mon Dec 15 13:03:46 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","1867","Получение информации о транзакциях","","Mon Dec 15 13:03:40 UTC 2025","passed","Mon Dec 15 13:03:42 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","getTransactionsInfoTest"
"","3411","Перевод на сумму, превышающую максимальную","","Mon Dec 15 13:04:20 UTC 2025","passed","Mon Dec 15 13:04:23 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCannotTransferWithGreaterThanMaximumAmountTest"
"","1005","Невалидные значения суммы [1] 0.0","","Mon Dec 15 13:04:05 UTC 2025","passed","Mon Dec 15 13:04:06 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","1192","Перевод на счет другого пользователя [2] 20.5","","Mon Dec 15 13:03:57 UTC 2025","passed","Mon Dec 15 13:03:58 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","1007","Невалидные значения суммы [3] -1.0","","Mon Dec 15 13:04:07 UTC 2025","passed","Mon Dec 15 13:04:08 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","479","Изменение имени (некорректные имена) [3] Ivan  Petrovich","","Mon Dec 15 13:03:37 UTC 2025","passed","Mon Dec 15 13:03:37 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","489","Изменение имени (некорректные имена) [1] Ivan","","Mon Dec 15 13:03:36 UTC 2025","passed","Mon Dec 15 13:03:36 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1201","Перевод на счет другого пользователя [5] 10000.0","","Mon Dec 15 13:04:00 UTC 2025","passed","Mon Dec 15 13:04:01 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","1768","Пополнение баланса на сумму, превышающую максимальную","","Mon Dec 15 13:04:37 UTC 2025","passed","Mon Dec 15 13:04:39 UTC 2025","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCannotDepositGreaterThanAllowedAmountTest"
"","1179","Перевод на счет другого пользователя [4] 0.01","","Mon Dec 15 13:03:59 UTC 2025","passed","Mon Dec 15 13:04:00 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","1138","Перевод невалидной суммы [1] 50.01","","Mon Dec 15 13:03:50 UTC 2025","passed","Mon Dec 15 13:03:51 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","472","Изменение имени (некорректные имена) [5] Ivan_Petrovich","","Mon Dec 15 13:03:38 UTC 2025","passed","Mon Dec 15 13:03:38 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1110","Перевод невалидной суммы [3] -1.0","","Mon Dec 15 13:03:52 UTC 2025","passed","Mon Dec 15 13:03:53 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferWithInvalidAmountTest"
"","943","Перевод с несуществующего счета","","Mon Dec 15 13:03:53 UTC 2025","passed","Mon Dec 15 13:03:54 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferFromInvalidAccountTest"
"","666","Изменение имени (позитивные сценарии) [1] Petr Ivanov","","Mon Dec 15 13:03:34 UTC 2025","passed","Mon Dec 15 13:03:34 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNamePositiveTest"
"","1094","Перевод от имени администратора","","Mon Dec 15 13:04:02 UTC 2025","passed","Mon Dec 15 13:04:04 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","adminCannotTransferTest"
"","556","Изменение имени (позитивные сценарии) [2] petr ivanov","","Mon Dec 15 13:03:34 UTC 2025","passed","Mon Dec 15 13:03:35 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNamePositiveTest"
"","467","Изменение имени (некорректные имена) [9]    ","","Mon Dec 15 13:03:40 UTC 2025","passed","Mon Dec 15 13:03:40 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","503","Изменение имени (некорректные имена) [2] Ivan Petrovich Ivanov","","Mon Dec 15 13:03:36 UTC 2025","passed","Mon Dec 15 13:03:37 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","1269","Перевод между своими счетами [5] 10000.0","","Mon Dec 15 13:03:48 UTC 2025","passed","Mon Dec 15 13:03:49 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","1020","Перевод на несуществующий счет","","Mon Dec 15 13:04:01 UTC 2025","passed","Mon Dec 15 13:04:02 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCannotTransferToInvalidAccountTest"
"","1224","Перевод между своими счетами [4] 0.01","","Mon Dec 15 13:03:46 UTC 2025","passed","Mon Dec 15 13:03:48 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","930","Пополнение баланса неавторизованным пользователем","","Mon Dec 15 13:04:09 UTC 2025","passed","Mon Dec 15 13:04:09 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","unauthorizedUserCannotDepositTest"
"","1211","Перевод на счет другого пользователя [3] 115.99","","Mon Dec 15 13:03:58 UTC 2025","passed","Mon Dec 15 13:03:59 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
"","3541","Успешный перевод","","Mon Dec 15 13:04:27 UTC 2025","passed","Mon Dec 15 13:04:30 UTC 2025","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest"
"","488","Изменение имени (некорректные имена) [8] Иван Иванов","","Mon Dec 15 13:03:39 UTC 2025","passed","Mon Dec 15 13:03:40 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","changeNameNegativeTest"
"","990","Пополнение баланса (позитивные сценарии) [4] 0.01","","Mon Dec 15 13:04:13 UTC 2025","passed","Mon Dec 15 13:04:14 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1011","Пополнение баланса (позитивные сценарии) [2] 115.99","","Mon Dec 15 13:04:11 UTC 2025","passed","Mon Dec 15 13:04:12 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1017","Пополнение чужого баланса","","Mon Dec 15 13:04:15 UTC 2025","passed","Mon Dec 15 13:04:16 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCannotDepositToAnotherAccountTest"
"","1716","Невалидная сумма при пополнении баланса","","Mon Dec 15 13:04:36 UTC 2025","passed","Mon Dec 15 13:04:37 UTC 2025","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCannotDepositWithInvalidAmountTest"
"","2083","Успешное пополнение баланса","","Mon Dec 15 13:04:39 UTC 2025","passed","Mon Dec 15 13:04:41 UTC 2025","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCanDepositTest"
"","0","Успешное изменение имени","","Mon Dec 15 13:04:16 UTC 2025","skipped","Mon Dec 15 13:04:16 UTC 2025","","iteration2.ui.ChangeUsernameTest","iteration2.ui.ChangeUsernameTest","userCanChangeNameTest"
"","1000","Пополнение баланса (позитивные сценарии) [3] 20.5","","Mon Dec 15 13:04:12 UTC 2025","passed","Mon Dec 15 13:04:13 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","2968","Изменение имени у администратора","","Mon Dec 15 13:03:31 UTC 2025","passed","Mon Dec 15 13:03:34 UTC 2025","","iteration2.api.ChangeUsernameTest","iteration2.api.ChangeUsernameTest","adminCannotChangeNameTest"
"","1561","Перевод между своими счетами [1] 100.0","","Mon Dec 15 13:03:42 UTC 2025","passed","Mon Dec 15 13:03:44 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferBetweenOwnAccountsTest"
"","1001","Пополнение баланса (позитивные сценарии) [1] 100.0","","Mon Dec 15 13:04:10 UTC 2025","passed","Mon Dec 15 13:04:11 UTC 2025","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","depositMoneyPositiveTest"
"","1206","Перевод на счет другого пользователя [1] 100.0","","Mon Dec 15 13:03:55 UTC 2025","passed","Mon Dec 15 13:03:57 UTC 2025","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","transferToAnotherUsersAccountTest"
